Vendor ID,Vendor Name,Vendor Type,Location,Event types,Price range,Rating,Availability
51,Edie,Bakery,Ranchi,Birthday,938253,4.1,TRUE
52,Schermick,Bakery,Pune,Wedding,1211534,1.1,TRUE
53,Avramov,Mehndi Artist,Lucknow,Wedding,2034778,3.2,TRUE
54,Blaszczak,Photography,Navi Mumbai,Birthday,1812348,2.2,TRUE
55,Linguard,Event Planner,Navi Mumbai,Exhibition,726692,2.7,TRUE
56,Langfitt,Catering,Mumbai,Engagement,2650533,2.7,TRUE
57,Staton,Makeup Artist,Surat,Birthday,1001195,4,TRUE
58,Claughton,Florist,Navi Mumbai,Fashion Show,3847557,3.8,TRUE
59,Woodings,Bakery,Navi Mumbai,Birthday,2015031,3.1,TRUE
60,Clawe,Bartender,Mumbai,Award ceremony,2649433,1.6,TRUE
61,Tweedy,Decorator,Mumbai,Cultural Event,1399285,1.6,TRUE
62,Le febre,Security,Mumbai,Engagement,610522,3.9,TRUE
63,Olenchikov,Invitation Designer,Ahmedabad,College Fest,1125465,2.5,TRUE
64,Brodest,Decorator,Mumbai,Exhibition,3539760,2.5,TRUE
65,Glanister,Makeup Artist,Navi Mumbai,Exhibition,2773789,1.7,TRUE
66,Whardley,Catering,Mumbai,Anniversary,3385103,3.3,TRUE
67,Cotilard,Event Planner,Mumbai,Exhibition,1701812,3.2,TRUE
68,Cowles,Catering,Mumbai,Exhibition,3871487,3.6,TRUE
69,Mattingly,Sound & Lights,Mumbai,Fashion Show,2564284,2.6,TRUE
70,Gann,Stage setup,Mumbai,Birthday,3663729,2.6,TRUE
71,Crenage,DJ,Mumbai,Engagement,2932154,1.2,TRUE
72,Pinkett,Photography,Navi Mumbai,Award ceremony,65326,4.5,TRUE
73,Castelluzzi,Anchor,Navi Mumbai,Cultural Event,1668409,4.3,TRUE
74,Sawkin,Sound & Lights,Navi Mumbai,Wedding,690641,4.4,TRUE
75,Karlmann,Photography,Mumbai,Festival Celebration,1293497,1.1,TRUE
76,Weyman,Live Band,Surat,Engagement,341333,1.7,TRUE
77,Okie,Florist,Kolkata,College Fest,1420416,3,TRUE
78,Cameli,Stage setup,Thiruvananthapuram,Anniversary,3117590,2.6,TRUE
79,Greig,Live Band,New Delhi,baby Shower,2852340,2.2,TRUE
80,Worham,Stage setup,Jaipur,baby Shower,1548665,1.4,TRUE
